Name,IE_CP,CPUtime
23_31_cam.out,4.569734398247012e-05,34423.0
23_32_cam.out,-0.00036774165067569723,26802.0
23_33_cam.out,-0.00019505551984541833,33712.0
24_25_cam.out,-0.00022909865628207172,47114.0
24_26_cam.out,-0.0002410968756143426,52296.0
24_27_cam.out,-0.0005256226927298805,34721.0
24_28_cam.out,-0.000479324217561753,37581.0
24_29_cam.out,-0.001859300875378486,47018.0
24_30_cam.out,-0.0023178951895123506,47361.0
24_31_cam.out,-7.7370228e-05,34750.0
24_32_cam.out,0.0020801178250438247,14546.0
24_33_cam.out,0.0008916299835840637,67708.0
25_26_cam.out,-0.00010541795988207172,39175.0
25_27_cam.out,-5.1244615770517935e-05,32561.0
25_28_cam.out,-0.0001237384151697211,33841.0
25_29_cam.out,0.0004188335852191235,39331.0
25_30_cam.out,-0.00022190316830916334,54725.0
25_31_cam.out,-3.7557092301195224e-05,35539.0
25_32_cam.out,-0.00010850422327011952,22003.0
25_33_cam.out,-0.000102208319174502,36573.0
26_27_cam.out,0.0005651434141912351,26173.0
26_28_cam.out,3.229896597609562e-05,30577.0
26_29_cam.out,0.0013431577914565737,53754.0
26_30_cam.out,0.0011708747697689243,34478.0
26_31_cam.out,1.4918857368924302e-05,33653.0
26_32_cam.out,-0.0013499276474454184,16797.0
26_33_cam.out,-0.00030095510127808764,79575.0
27_28_cam.out,-0.00018638144446693228,22612.0
27_29_cam.out,-0.00648816417987729,24497.0
27_30_cam.out,0.001120082741085259,53018.0
27_31_cam.out,1.7490193689243027e-05,29456.0
27_32_cam.out,-0.0020505582898262945,15365.0
27_33_cam.out,-0.0006404972010581674,41507.0
28_29_cam.out,0.0010768745211378486,58767.0
28_30_cam.out,0.0010036265723505976,37730.0
28_31_cam.out,1.0176185853386455e-05,34649.0
28_32_cam.out,-0.0007913387292414343,13631.0
28_33_cam.out,-0.00027666709808446213,39195.0
29_30_cam.out,-0.0033144701688111555,85828.0
29_31_cam.out,0.00047616715576414344,49079.0
29_32_cam.out,0.001006946678315538,59463.0
29_33_cam.out,-0.0009744263316207172,57159.0
30_31_cam.out,0.0015786487074310757,61205.0
30_32_cam.out,0.012444441912006374,53406.0
30_33_cam.out,-0.001147135092157769,46441.0
31_32_cam.out,-0.0005006436279760955,37493.0
31_33_cam.out,-0.000129470347638247,29623.0
32_33_cam.out,-0.001245549154519522,40220.0
